Lat-Long,Nombre del recurso turístico,isla,Consejo,Parroquia,Aldea,Vecindario,Clasificación,Cara,Descripción del Producto,Elementos materiales asociados,Elementos naturales asociados,Acceso a recursos [dominio público o privado],Imágenes destacadas,Imágenes de la característica 1,Dados pendentes de interesse turístico,Singularidad que lo diferencia de otros en la región,Satisfacción del cliente con la función.,Posibilidades de exploración futura,Intervenciones necesarias para su uso,Acceso a recursos (tierra),Medios de viaje,Señalización (Dentro del municipio),Señalización (Fuera del municipio),Señalización (Cerca),Tipo de renda,Aplica (Dentro do Recurso Turístico),Aplica (Fora do Recurso Turístico),IDENTIFICACIÓN,Estado de conservación,Otros Servicios Turísticos (Fuera del Complejo Turístico más cercano),Servicios Básicos (Fuera del centro turístico más cercano),Servicios de emergencia (Fuera del complejo turístico más cercano),Otros Servicios Turísticos (Dentro del Recurso Turístico),Servicios básicos (Dentro del Complejo Turístico),Imágenes de la característica 2,Característica 3 imágenes,Característica 4 imágenes,Servicios de emergencia (Dentro del Complejo Turístico),Acceso al recurso (Marítimo),Nivel actual de uso,Acceso a recursos (aerotransportado),Medios de viaje 2
"14.916918434881977, -23.507501734802467",Mirador del Cruzeiro,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Patrimonio Arquitectónico y Artístico,Legado Arqueológico,"Está situado en el sur de Praia, en la zona de tenis de la meseta y frente a la cima del acantilado que desciende hacia el mar. Se trata de una estructura que se construyó en los primeros días de la ocupación de la meseta para defender la ciudad de los sucesivos ataques piratas a los que se enfrentaba la isla. La plaza ha sido reformada, dando mayor comodidad a los visitantes. Consta de una cruz hecha de cemento y revestida de mármol, sobre una base de piedra también revestida de mármol, fue inaugurada el 19 de noviembre de 2006, tiene varios cañones inactivos que defendían la isla de los ataques, los cuales por el tiempo, se encuentran muy oxidados. . También es uno de los mejores miradores de la ciudad, con una vista panorámica del muelle de la ciudad desde la playa.","cañones, 
Cruz frente al muelle de la playa.",algunos arboles,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/vVeXVH8J1qqudIokg1qc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/CvKufggvIJN3CYWKytty.jpg,,,,Patrimonio/cultural,,Verdadero,"Vehículo todo terreno, Coche común, A pie, Bus turístico, Mini Bus Turístico, Taxi",Suficiente,Suficiente,Suficiente,Libro,Verdadero,FALSO,37,,"Servicios de guía,Museos,Servicio de taxi,Venta de artesanías,Banco/ATM/cambio de moneda,Servicios de estacionamiento","Agua, Alcantarillado, Alumbrado público, Señalización","Hospital público,Hospital particular,Polícia",,Alumbrado publico,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/CA3DqK4v2TIyUEBBS5wX.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/SHDJoIOlbD1TyURGIb7i.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/fnketppxr0VZ5mGP0Rft.jpg,,,Asistió,,
"15.035651704836042, -23.59963023640967",Mirador Rui Vaz,Santiago,São Domingos,São Nicolau Tolentino,"Rui Vaz

",Rui Vaz,Lugares Naturais,Sitios de Observación de Flora y Fauna,"Se trata de un mirador a 820 metros de altitud, situado en la cadena del Pico de Antónia, en el perímetro forestal de Rui Vaz.  Clima fresco, vista al norte de Santiago, límite con SLO. Puerta de entrada al perímetro del bosque, de Curalinho. Área para la práctica de deportes (aladelta) - en estudio en CMSD. Forma parte de la ruta turística de la isla de Santiago y domina los municipios de São Lourenço dos Organs, Santa Cruz y la isla de Maio. En el mirador destaca un columpio, elaborado con madera de eucalipto, muy abundante en la región. Una invitación a volver a sentirme niño y hacer fotografías maravillosas. Sus alrededores son ricos en hermosos paisajes verdes.","Bancos de madera, columpios, piedras de basalto, senderos hacia São Jorge 
Quiosco de café de madera y azulejos,","Paisaje y flora, plantas medicinales.",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/cqdMxM28mlraAWMtup0o.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/kW9CCmWqBYqc5xD1jnQ2.jpg,"Mejorar la accesibilidad, el saneamiento, la inversión local por parte de los particulares, capacitando a las personas para prestar un servicio allí.","Cuenta con los mejores senderos de trekking, cercanos a áreas protegidas y aptos para el desarrollo de proyectos científicos.",,"Es de uso turístico, para paseos, observación y picnics.",,Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",Suficiente,Suficiente,Suficiente,Libro,Verdadero,Verdadero,38,bien,"Venta de artesanías,Servicios de estacionamiento.","Agua, Alcantarillado, Alumbrado público, Señalización","Hospital público, atención primaria.",Servicios de aparcamiento,"Alumbrado público, Señalización",,,,Atención primaria,,Asistió,,
"14.923139226801977, -23.50702813527767",Museo Etnográfico da Praia,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Patrimonio Arquitectónico y Artístico,Museos y salas de exposiciones,"El Museo surge de un proyecto más amplio de creación del Museo Nacional (finales de 1980/1990). El objetivo era crear un museo que pudiera reflejar la identidad cultural caboverdiana. Sin embargo, la materialización del mismo no fue posible, habiendo acabado en lo que es el Museo Etnográfico de Praia, inaugurado el 27 de noviembre de 1997. Edificio de construcción antigua con revestimiento de madera. La mayor parte de la colección es resultado de campañas de recolección realizadas entre 1992 y 1995, en las islas de Santiago, Santo Antão, Bosvista y Brava, por el Instituto Nacional de Cultura. La colección es muy diferente y representa la experiencia, la vida cotidiana y el saber hacer de los hombres caboverdianos, sus técnicas y oficios ancestrales, numerosos en extensión, que forman parte del bagaje etnocultural común a todas las islas del archipiélago.","Piedras de basalto, Vitrinas de vidrio, Artesanías diversas, Paneles interpretativos, Puertas y ventanas altas.",-,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/yN0uoK3C7kkYtZoS8sUp.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/134KEJLda7HZb5Z1sYRc.jpg,Ninguno,Único museu etnográfico de Santiago,,Patrimonio/cultural,Ninguno,Verdadero,"Coche normal, a pie.",Suficiente,Suficiente,Suficiente,Se requiere boleto o entrada,Verdadero,Verdadero,39,bien,"Servicios de guía, Servicio de taxi, Venta de artesanías, Banco/ATM/cambio de moneda, Servicios de estacionamiento","Agua, Alcantarillado, Alumbrado público, Señalización","Hospital público, Hospital privado, Atención primaria, Policía",Museos,"Agua, Alcantarillado, Alumbrado público, Señalización",,,,Atención primaria,,Asistió,,
"14.916645462293983, -23.509556218844676",Palacio de la Presidencia de la República,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Patrimonio Arquitectónico y Artístico,Asentamientos humanos y arquitectura viva,"El Palacio de la Presidencia de la República, situado en el centro histórico de Plateau, fue construido a finales del siglo XIX y ha desempeñado diversas funciones a lo largo del tiempo, en particular como residencia de los gobernadores generales de Cabo Verde y después de la independencia de Cabo Verde. en 1975., palacio de la presidencia de la república, función que aún mantiene. Un edificio, de estilo neoclásico inaugurado en 1984. Hay referencias históricas antes y después de 1878, se solicitó autorización para la construcción de una residencia para los gobernadores generales, en mayo de 1878, este proyecto fue elaborado por la dirección general de obras públicas.","Mirador, Obras de arte representativas",Jardín paisagistico,Privado,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/xI0EQNvNRjQSraaxTZ9u.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/8J7rPyB1BpdRlQGbRmsk.png,-,"Es un edificio de planta arquitectónica en forma de U y estilo neoclásico, con mampostería, mampostería y revestimiento de tejas y es único en las regiones.",,Patrimonio/cultural,-,Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico",Suficiente,Suficiente,Suficiente,Semi-restringido (permiso previo),Verdadero,Verdadero,40,muy bien,"Servicios de guía,Centros de interpretación,Museos,Servicio de taxi,Venta de artesanía,Banco/ATM/cambio de moneda,Servicios de aparcamiento","Agua, Alcantarillado, Alumbrado público, Señalización","Hospital público, Hospital privado, Atención primaria, Policía","Servicios de guía, Centros de interpretación.","Agua, Alcantarillado, Alumbrado público, Señalización",,,,"Atención primaria, policía",,Asistió,,
"14.915174398165258, -23.605130690008735",Picota,Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Grande de Santiago,Ribeira Grande de Santiago,Patrimonio Arquitectónico y Artístico,Legado Arqueológico,"Es un monumento importante en la ciudad de Cidade Velha, en el sur de Santiado. Construido en 1512 a 1520. Símbolo del poder municipal, donde los ciudadanos eran juzgados frente al público (castigados con un látigo). Construido con piedra de mármol (de Portugal) por el arquitecto Mark Pires. 1er monumento del Casco Antiguo sujeto a renovación en 1560. Se trata de una columna de mármol blanco de estilo manuelino, situada en la plaza principal de la localidad.","hierro con símbolos de los navegantes que pasaron por Cidade Velha (Diogo Afonso, Diogo Gomes y Antonio de noli)",-,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/EvLeHsyYwf5TCd4kK7aV.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/02QKOCWxTX6FPNDnbUfZ.jpg,-,-,,Patrimonio/cultural,-,Verdadero,"Coche normal,A pie,Autobús turístico,Taxi",Suficiente,Suficiente,Suficiente,Libro,FALSO,Verdadero,41,bien,Venta de artesanías,"Agua, Alumbrado público, Señalización",,,,,,,,,Asistió,,
"15.28519185524424, -23.755995907839342",Porto de Mangui,Santiago,Tarrafal,Santo Amaro Abade,Baia de Tarrafal,Baia de Tarrafal,Lugares Naturais,Playas y zonas costeras,"Puerto pesquero de Tarrafal, diseñado en el siglo XIV, por un francés llamado Renatho, creado con la idea de la comercialización del carbón. Se utilizó para desembarcar presos políticos y embarcar personas a Santo Tomé y Príncipe durante la hambruna. Actualmente utilizado como muelle pesquero, para el desembarco de pequeñas embarcaciones pesqueras que abastecen de pescado de diferentes especies al tarrafal y otras localidades. El muelle tiene más de 100 metros de largo, está hecho con fuertes estructuras, pero actualmente se encuentra en ruinas.","Escaleras dañadas, Ancora en mal estado","mar, pescado",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/tBg3MaKoiQi294PBbZmG.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/1J6fGOBsR33L7WJPdZHg.jpg,"Rehabilitar con el objetivo de atender el turismo y la pesca, proyecto de turismo resiliente (unidad de proyecto), previsto para 2024",-,,,-,Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",No existe,muy poco,muy poco,Libro,Verdadero,Verdadero,42,espacioso,"Servicios de guía, alquiler de bicicletas/caballos/otros.","Agua, Alumbrado público","Hospital privado,Atención primaria,Policía",,Alumbrado publico,,,,,,Asistió,,
"15.138721447830783, -23.527203213519837",Porto de Pedra Badejo - Falucho,Santiago,Santa Cruz,Santiago Maior,Cidade de Pedra Badejo ,Porto Baixo ,Lugares Naturais,Playas y zonas costeras,"En el pasado sirvió como conexión marítima principalmente con la isla de Maio, donde viven varias personas del municipio de Santa Cruz. Con olor a mar y a pescado, por la mañana empiezan a llegar pescadores del mar y los pescaderos, concentrados en Oporto, cargan el pescado en palanganas y salen a venderlo en las calles y en el Mercado. Es otro punto de interés turístico donde los visitantes pueden ver el trabajo de personas vinculadas al mar y comprar marisco fresco en el lugar. Recientemente se remodeló y construyó una fábrica de hielo (inaugurada en agosto de 2023) y un área de preparación de pescado. También hay un baño.",-,-,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/PAOgQtfH84piXtUjs8yg.jpg,,Museus de artefactos de pesca de falucho,Conecta con la isla de Maio y Boavista en barco,,"Actividades náuticas: Vela, pesca de altura, etc.",-,Verdadero,"Vehículo todo terreno,Coche común,A pie,A caballo,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",Suficiente,Suficiente,Suficiente,Libro,Verdadero,Verdadero,43,bien,"Servicios de guía,Alquiler de bicicletas/caballos/otros,Centros de interpretación,Museos,Servicio de taxi,Venta de artesanía,Banco/ATM/oficina de cambio,Servicios de aparcamiento","Agua, Alcantarillado, Alumbrado público, Señalización","Hospital público, Hospital privado, Atención primaria, Policía",,"Agua, Alcantarillado, Alumbrado público, Señalización",,,,,Verdadero,Asistió,,"Barco,Iate"
"14.905296827398644, -23.518607834679845",Plaza Cruz del Papa,Santiago,Praia,Nossa Senhora da Graça,Achada Santo António,Achada Santo António,Patrimonio Arquitectónico y Artístico,Obras De Arte Representativas,"El monumento Cruz de Papa es un monumento erigido para conmemorar la visita papal del Papa Juan Pablo II a Cabo Verde en 1990, siendo la primera visita del líder más grande de la iglesia al país. Este imponente monumento se encuentra ubicado en el jardín donde es posible observar, de un lado y del otro, una escultura que representa a Juan Pablo II. Tiene una fantástica vista panorámica sobre la bahía de la playa Quebra Canela, donde se puede sentir la brisa del mar y contemplar el atardecer. La plaza fue inaugurada en 2008 y creada por D. Domingos de Luisa.","Mirador, parque con toboganes infantiles, restaurante, sillas.",Jardín,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/nxhW62OGYiAgTb6PG2s4.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/gSmtPgxj97HzURfuKOb2.jpg,,Fue la primera visita del máximo responsable de la Iglesia católica a un país como Cabo Verde.,,Patrimonio/cultural,,Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Taxi",Suficiente,Suficiente,Suficiente,Libro,Verdadero,Verdadero,45,bien,"Servicios de guía, Servicio de taxi, Venta de artesanías, Banco/ATM/cambio de moneda, Servicios de estacionamiento","Agua, Alcantarillado, Alumbrado público, Señalización","Hospital privado, atención primaria.",,"Alumbrado público, Señalización",,,,,,Asistió,,
"15.281517197755285, -23.752689347404843",Playa Blanca de Tarrafal de Santiago,Santiago,Tarrafal,Santo Amaro Abade,Baia de Tarrafal,Baia de Tarrafal,Lugares Naturais,Playas y zonas costeras,"Playa paradisíaca para bañarse, de arena blanca y aguas cálidas y cristalinas, rodeada de palmeras y cocoteros que crean un paisaje fantástico. La playa también es apta para nadar, bucear y pasear en barco, y el agua está a la misma temperatura durante todas las estaciones. Tiene buena longitud y anchura y está bien conservada. También propicio para actividades familiares. Tiene una gran biodiversidad, desde eclosión hasta 4 tipos de tortugas.","Sombras, espriguiçadeiras","Mar, peces, algas, palmeras.",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/YVo4EQGTjDPn3jdQy0ZZ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/zBqCUUcO1YwoIrkkCBUF.jpg,"Limpieza y refuerzo de papeleras, baños. Creación de viveros para albergar huevos de tortuga.",Una de las mejores bahías de la isla de Santiago.,,Costa y baño (Playa),,Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",No existe,No existe,muy poco,Libro,Verdadero,Verdadero,48,bien,"Servicios de guía, Alquiler de bicicletas/caballos/otros, Servicio de taxi, Alojamiento, Catering","Agua, Alumbrado público","Hospital privado,Atención primaria,Policía",,Alumbrado publico,,,,,,Asistió,,
"14.904470569364953, -23.51165720356226",Playa Prainha,Santiago,Praia,Nossa Senhora da Graça,Quebra Canela,Quebra Canela,Lugares Naturais,Playas y zonas costeras,"Pequeña playa dentro de la ciudad, muy popular entre los turistas y la población local. Situada en la costa de la zona de playa, con una longitud aproximada de 78 metros, formada por arena blanca y aguas cristalinas y en buen estado, de fácil acceso y muy popular entre turistas y bañistas locales. En sus alrededores encontrará hoteles de lujo, un aparcamiento, algunos monumentos históricos, como el faro de Doña María Pía y el seminario de São José, parte del cual fue el antiguo lazareto.","Información de uso, botes de basura, punto de vista.",,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/giLpIdJSRlHzn9v4K2zZ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ODioBcLuMvcL0Qz2BrXo.jpg,Limpieza de arena de playa,Es la playa más pequeña de la ciudad de Praia.,,Costa y baño (Playa),,Verdadero,"Coche normal,A pie,Autobús público,Autobús turístico,Taxi",Suficiente,Suficiente,Suficiente,Libro,Verdadero,Verdadero,49,bien,"Servicios de guía, Servicio de taxi, Venta de artesanías, Banco/ATM/cambio de moneda, Servicios de aparcamiento, Alojamiento, Catering","Agua, Alcantarillado, Alumbrado público, Señalización","Hospital público,Atención primaria,Policía",,"Agua, Alumbrado público, Señalización",,,,"Atención primaria, policía",,,,
"15.134695392737694, -23.528595016991527",Playa Areia Grande,Santiago,Santa Cruz,Santiago Maior,Cidade de Pedra Badejo ,"Pedra Badejo 

",Lugares Naturais,Playas y zonas costeras,"Es la playa más grande del municipio, con más de 3 kilómetros de longitud, donde cada año se celebra el famoso festival de música Areia Grande, además de otras actividades culturales y deportivas. Situado próximo a la vía principal del municipio, se encuentra en buen estado de conservación. Formada por arena negra, la playa es un atractivo tanto para los turistas como para la población local. Recientemente la playa contó con la visita de la tortuga Chelonia Midas, mejor conocida como la tortuga verde, donde marcó un hito en la historia de la playa que el momento de llegada, eclosión y salida fue registrado por la asociación Careta Karate.","Equipamiento deportivo, balsas, gimnasio al aire libre.",Visita de aves migratorias en las zonas de Lagoinha y Lagoa Grande.,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/QMD9tgrDCsFWvt3XdCdJ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ANkWo3wX18lmgH3Qhk0N.jpg,"Intervención en materia de saneamiento y entretenimiento, sombrero elaborado con material local (paja), puesto de vigilancia de socorristas.","Única playa del Concejo donde se realiza el festival de música Big Sand, además de actividades culturales y deportivas.",,Costa y baño (Playa),,Verdadero,"Vehículo todo terreno,Coche común,A pie,A caballo,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",Suficiente,Suficiente,Suficiente,Libro,FALSO,Verdadero,50,bien,"Servicios de guía, Alquiler de bicicletas/caballos/otros, Centros de interpretación, Museos, Servicio de taxi, Venta de artesanía, Bancos/Cajeros automáticos/oficinas de cambio, Servicios de aparcamiento, Alojamiento, Restaurantes","Alumbrado público, Señalización","Hospital público, Hospital privado, Atención primaria, Policía",,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/i7OLtNKpg5Y2AW3pOXAZ.jpg,,,,Verdadero,Asistió,,"Barco,Iate"
"15.062061290148275, -23.473368916612312",Playa Baja,Santiago,São Domingos,Nossa Senhora da Luz,Praia Baixo,Praia Baixo,Lugares Naturais,Playas y zonas costeras,"Es una playa de baño situada en un pueblo pesquero. La playa cuenta con excelentes condiciones para la práctica de deportes acuáticos (surf, windsurf, buceo, natación). La playa más grande de São Domingos, también se puede desarrollar una economía marítima a su alrededor. De perfil longitudinal, ubicado en el sur del municipio de São Domingos. Una de las playas más grandes de la isla de Santiago, compuesta por una mezcla de arena blanca y negra, creando un tono gris claro, que la diferencia de otras playas. Dispone de equipos de sol y algunos servicios de apoyo turístico a su alrededor.","Sombras, barcos, pensión, bares, restaurantes.",mar y arena,Privado,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/o0J3FG1XuAQMvDXOBAiB.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/1rFETH4kPIjNCRIDDebN.jpg,"Limpieza de la arena de la playa, finalización del proyecto de acceso y paseo marítimo","Presenta excelentes condiciones para la práctica de deportes acuáticos, con aguas cálidas.",,Costa y baño (Playa),,Verdadero,"Vehículo todo terreno,Coche común,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",Suficiente,Suficiente,Suficiente,Libro,Verdadero,Verdadero,51,aceptable,"Venta de artesanías, Alojamiento, Restaurantes","Agua, Alcantarillado, Alumbrado público, Señalización",Atención primaria,,"Alumbrado público, Señalización",,,,Atención primaria,,Asistió,,
"15.231881573837127, -23.642631986437134",7 Playa de los manglares de Ribeira,Santiago,São Miguel,São Miguel Arcanjo,Achada Monte,Achada Monte,Lugares Naturais,Playas y zonas costeras,"Una playa, donde el mar penetra suavemente la tierra, dándole al lugar un potencial particular para acampar y socializar. Es uno de los elementos naturales del municipio propuesto en la categoría de monumento natural en la Red Nacional de Áreas Protegidas, por su valor paisajístico y su riqueza ambiental. Anteriormente conocido como “manguinho”, también se utilizaba para la carga y descarga de barcos. Estos fondeaban en alta mar y con las cuerdas atadas a azadas fijadas al camino, sostenían los barcos, y la carga y descarga se realizaba en embarcaciones hasta la playa. Hay relatos de vecinos que quien abastecía estos barcos era un hombre considerado el más rico de Santiago, Sr. Calisto Oliveira, que tenía contrato con ellos y vivía en Praia Branca, intercambiaba bienes (purga para hacer jabón, animales, etc.) desde Santiago a otros países. Actualmente la zona se encuentra despoblada, existiendo un emprendimiento rural que aprovecha la naturaleza para su concesión.",,"Rochas, mar, plantas",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/7DzVdUut2MbTJgGtyQwO.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/UwV0VRZcGZsWryUjJFvE.jpg,"Más publicidad, rehabilitación, seguridad, limpieza.","Referencia na historia, paisagem, ambiente.",,Costa y baño (Playa),"Limpieza, saneamiento",Verdadero,"Vehículo todo terreno, Coche común, A pie, Bus turístico, Mini Bus Turístico, Taxi",No existe,Suficiente,No existe,Libro,Verdadero,Verdadero,52,bien,"Alojamiento, restauración","Alumbrado público, Señalización",Atención primaria,,Alumbrado publico,,,,,,Muy poco frecuentado,,
"15.089537558896614, -23.491443703181375",playa de manglares,Santiago,Santa Cruz,Santiago Maior,Monte negra,Monte negro,Lugares Naturais,Playas y zonas costeras,"Situada en Ribeira de Mangue, es una playa con cierta dificultad de acceso por las condiciones de la carretera y para acceder a la playa es necesario tener autorización previa, ya que pasa por propiedad privada. Representa uno de los tradicionales puntos de anidación de tortugas de la especie Caretta caretta en la costa, lo que lo hace interesante para estudios científicos y observación de ésta y otras especies que lo frecuentan. La playa tiene 2,5 kilómetros de largo y es de arena negra. No hay más elementos en este lugar al ser una playa poco utilizada por la población.",,"arena, rocas",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/9HFpfxvPNUDYeSl93l4R.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/VmDiP8FvFWZqG0Cge2kZ.jpg,"Para mejorar el acceso a la propiedad privada, tienen la idea de construir un complejo turístico",,,Costa y baño (Playa),Mejorando el acceso,Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico",Suficiente,No existe,Suficiente,,FALSO,Verdadero,53,bien,,"Agua, Alumbrado público",,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/LD05IdxmI67qKijXT81K.jpg,,,,,Asistió,,
"14.952036102095445, -23.686628328914463",Playa de los Mosquitos de Oporto,Santiago,Ribeira Grande de Santiago,São João Baptista,Porto Mosquito,Porto Mosquito,Lugares Naturais,Playas y zonas costeras,"Se trata de una pequeña playa de arena negra situada en un pueblo de pescadores, formada esencialmente por piscinas naturales y cantos rodados. Se puede considerar una playa de baño, utilizada principalmente por la población local. En el mismo lugar se albergan embarcaciones de pesca artesanal y comercialización de pescado. Hay un pueblo alrededor, donde las casas tienen pinturas artísticas, con la firma de lantuna cv, que es una organización no gubernamental que defiende el medio ambiente. En la playa entre las rocas hay un chapoteadero natural que hace una “explosión” del agua, causando un efecto maravilloso en las personas, debido a tanta belleza.","Pinturas en fachadas de casas, barcos.
Extracción de áridos para construcción civil.","Mar, arena negra, especies marinas.",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/gpmasnTK6lv6K2WVvXz6.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/1gamPiZbC6aPj2C5jT5G.jpg,"La ubicación, así como Porto Mosquito Beach, forma parte de dos importantes proyectos de promoción y diversificación del turismo en Cabo Verde, a saber, el Programa de mejora del turismo y el medio ambiente para aldeas rurales y el Proyecto de señalización de senderos peatonales de Cabo Verde.","Destaca la Serra Santa Clara, un patrimonio geomorfológico formado esencialmente por rocas basálticas, asemejándose a un castillo y a la cúpula de la basílica de San Pedro, y la Gruta Elefante Santa Clara, también una de las siete maravillas naturales de la ciudad, asemejándose a un elefante, despertando. curiosidad por saber qué misterio existe más allá de la cueva. Ribeira Santa Clara es un impresionante valle con forma de cañón, de aproximadamente 8 km de longitud. Puedes observar aves, monos y cabras.",,Costa y baño (Playa),"La aldea será rehabilitada en el marco del programa gubernamental. Necesita intervenciones en términos de saneamiento, medio ambiente, capacitación y rehabilitación de Porto Mosquito Beach.",Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",No existe,Suficiente,No existe,,Verdadero,Verdadero,54,espacioso,Servicios de guía,"Agua, Alcantarillado, Alumbrado público",,,"Agua, Alumbrado público",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/mCh6XfOnwbQ7m9cGlYPI.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/qX08ypEfb7JgJ8uiVO86.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/dzGp1o4zt7OTAWlWQxgD.jpg,,,Asistió,,
