Lat-Long,Tourist resource name,island,Council,Parish,Vila,Neighborhood,Classification,Cara,Product Description,Associated material elements,Associated natural elements,Resource Access [Public or private domain],Feature Images,Feature 1 Images,Pending data of tourist interest,Uniqueness that sets it apart from others in the region,Customer satisfaction with the feature,Possibilities for future exploration,Interventions required for its use,Resource access (Land),Means of travel,Signage (Within the municipality),Signage (Outside the municipality),Signage (Nearby),Type of income,Applies (Within the Tourist Resource),Applies (Outside the Tourist Resort),ID,Conservation status,Other Tourist Services (Outside the nearest Tourist Resort),Basic Services (Outside the nearest tourist resort),Emergency services (Outside the nearest tourist resort),Other Tourist Services (Within the Tourist Resource),Basic services (Within the Tourist Resort),Feature 2 Images,Feature 3 Images,Feature 4 Images,Emergency services (Within the Tourist Resort),Access to the resource (Maritime),Current level of usage,Resource Access (Airborne),Means of travel 2
"15.281517197755285, -23.752689347404843",White Beach of Tarrafal de Santiago,Santiago,Tarrafal,Santo Amaro Abade,Baia de Tarrafal,Baia de Tarrafal,Natural Places,Beaches and Coastal Locations,"Paradise bathing beach with white sand and warm crystal clear waters, palm trees and coconut trees all around, which create a fantastic landscape. The beach is also suitable for swimming, diving and boat rides, and the water is at the same temperature throughout the seasons. It has a good length and width, and is well preserved. Also auspicious for family activities. It has a vast biodiversity, from hatching to 4 types of turtles.","Shades, sun loungers","Sea, fish, algae, palm trees",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/YVo4EQGTjDPn3jdQy0ZZ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/zBqCUUcO1YwoIrkkCBUF.jpg,"Cleaning and reinforcing rubbish bins, bathrooms. Creation of nurseries to house turtle eggs.",One of the best bays on the island of Santiago,,Coast and bath (Beach),,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Does not exist,Does not exist,Very little,Book,True,True,48,bom,"Guide services, Bicycle/horse/other rental, Taxi service, Accommodation, Catering","Water,Public lighting","Private hospital,Primary care,Police",,Public lighting,,,,,,Attended,,
"14.904470569364953, -23.51165720356226",Prainha Beach,Santiago,Praia,Nossa Senhora da Graça,Quebra Canela,Quebra Canela,Natural Places,Beaches and Coastal Locations,"Small beach within the city, very popular with tourists and the local population. Located on the coast of the beach area, with a length of approximately 78 meters, made up of white sand and crystal clear waters and in good condition, easily accessible and very popular with tourists and local swimmers. In its surroundings you will find luxury hotels, a car park, some historical monuments, namely the Dona Maria Pia lighthouse and the São José seminary, part of which was once the old lazaretto.","Usage information, trash cans, viewpoint",,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/giLpIdJSRlHzn9v4K2zZ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ODioBcLuMvcL0Qz2BrXo.jpg,Beach sand cleaning,It is the smallest beach in the city of Praia.,,Coast and bath (Beach),,True,"Ordinary car,On foot,Public bus,Tourist bus,Taxi",Enough,Enough,Enough,Book,True,True,49,bom,"Guide services, Taxi service, Sale of crafts, Bank/ATM/currency exchange, Parking services, Accommodation, Catering","Water,Sewage system,Public lighting,Signage","Public hospital,Primary care,Police",,"Water,Public lighting,Signage",,,,"Primary care,Police",,,,
"15.134695392737694, -23.528595016991527",Areia Grande Beach,Santiago,Santa Cruz,Santiago Maior,Cidade de Pedra Badejo ,"Pedra Badejo 

",Natural Places,Beaches and Coastal Locations,"It is the largest beach in the municipality, more than 3 kilometers long, where the famous Areia Grande music festival takes place every year, as well as other cultural and sporting activities. Located close to the municipality's main road, it is in good condition. Made up of black sand, the beach is an attraction for both tourists and the local population. Recently the beach had a visit from the turtle Chelonia Midas, better known as the green turtle, where it was a milestone in the history of the beach that the moment of arrival, hatching and departure was recorded by the Careta Karate association.","Sports equipment, rafts, outdoor gym",Visit of migratory birds in the Lagoinha and Lagoa Grande areas.,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/QMD9tgrDCsFWvt3XdCdJ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ANkWo3wX18lmgH3Qhk0N.jpg,"Intervention in terms of sanitation and entertainment, sombrero made from local material (straw), lifeguard surveillance post.","The only beach in the Council where the Big Sand music festival takes place, as well as cultural and sporting activities.",,Coast and bath (Beach),,True,"All-terrain vehicle,Common car,On foot,On horseback,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Enough,Enough,Enough,Book,False,True,50,bom,"Guide services,Bicycle/horse/other rental,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATMs/exchange office,Parking services,Accommodation,Restaurants","Public lighting,Signage","Public hospital,Private hospital,Primary care,Police",,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/i7OLtNKpg5Y2AW3pOXAZ.jpg,,,,True,Attended,,"Boat,Yacht"
"15.062061290148275, -23.473368916612312",Praia Baixo,Santiago,São Domingos,Nossa Senhora da Luz,Praia Baixo,Praia Baixo,Natural Places,Beaches and Coastal Locations,"It is a bathing beach located in a fishing town. The beach has excellent conditions for water sports (surfing, windsurfing, diving, swimming). The largest beach in São Domingos, you can also develop a maritime economy around it. With a longitudinal profile, located in the south of the municipality of São Domingos. One of the largest beaches on the island of Santiago, made up of a mixture of white and black sand, creating a light gray tone, which differs from other beaches. It has sun equipment and some tourist support services around it.","Shadows, boats, boarding house, bars, restaurants",Sea and sand,Private,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/o0J3FG1XuAQMvDXOBAiB.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/1rFETH4kPIjNCRIDDebN.jpg,"Cleaning the beach sand, completing access and seafront project","It presents excellent conditions for water sports, with warm waters.",,Coast and bath (Beach),,True,"All-terrain vehicle,Common car,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Enough,Enough,Enough,Book,True,True,51,acceptable,"Sale of crafts, Accommodation, Restaurants","Water,Sewage system,Public lighting,Signage",Primary care,,"Public lighting,Signage",,,,Primary care,,Attended,,
"15.231881573837127, -23.642631986437134",7 Ribeira Mangrove Beach,Santiago,São Miguel,São Miguel Arcanjo,Achada Monte,Achada Monte,Natural Places,Beaches and Coastal Locations,"A beach, where the sea gently penetrates the land, giving the place particular potential for camping and socializing. It is one of the natural elements of the municipality proposed in the category of natural monument in the National Network of Protected Areas, due to its scenic value and its environmental richness. Previously known as “manguinho”, it was also used for loading and unloading ships. These anchored on the high seas and with the ropes attached to hoes fixed to the road, they supported the ships, and loading and unloading took place in boats to the beach. There are reports from residents that the person who supplied these ships was a man considered the richest in Santiago, Sr. Calisto Oliveira, who had a contract with them, and lived on Praia Branca, exchanged goods (purge to make soap, animals, etc.) from Santiago to other countries. Currently the area is devoid of population, with a rural enterprise that takes advantage of nature for its concession.",,"Rocks, sea, plants",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/7DzVdUut2MbTJgGtyQwO.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/UwV0VRZcGZsWryUjJFvE.jpg,"More advertising, rehabilitation, security, cleaning","Reference in history, landscape, environment.",,Coast and bath (Beach),"Cleaning, sanitation",True,"All-terrain vehicle,Common car,On foot,Tourist bus,Mini Tourist Bus,Taxi",Does not exist,Enough,Does not exist,Book,True,True,52,bom,"Accommodation, Catering","Public lighting,Signage",Primary care,,Public lighting,,,,,,Very little frequented,,
"15.089537558896614, -23.491443703181375",mangrove beach,Santiago,Santa Cruz,Santiago Maior,Monte negra,Monte negro,Natural Places,Beaches and Coastal Locations,"Located in Ribeira de Mangue, it is a beach with some difficulty in access due to the road conditions and to access the beach you must have prior authorization, as it passes through private property. It represents one of the traditional nesting points for turtles of the Caretta caretta species on the coast, which makes it interesting for scientific studies and observation of this and other species that frequent it. The beach is 2.5 kilometers long and consists of black sand. There are no more elements in this place as it is a beach that is not used much by the population.",,"Sand, rocks",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/9HFpfxvPNUDYeSl93l4R.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/VmDiP8FvFWZqG0Cge2kZ.jpg,"To improve access to private property, they have the idea of ​​building a tourist resort",,,Coast and bath (Beach),Improving access,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus",Enough,Does not exist,Enough,,False,True,53,bom,,"Water,Public lighting",,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/LD05IdxmI67qKijXT81K.jpg,,,,,Attended,,
"14.952036102095445, -23.686628328914463",Porto Mosquito Beach,Santiago,Ribeira Grande de Santiago,São João Baptista,Porto Mosquito,Porto Mosquito,Natural Places,Beaches and Coastal Locations,"It is a small, black sand beach located in a fishing town/village, essentially made up of natural pools and pebbles. It can be considered a bathing beach, used mainly by the local population. The same location houses artisanal fishing and fish marketing boats. There is a village around, where the houses have artistic paintings, with the signature of lantuna cv, which is a non-governmental organization that defends the environment. On the beach between the rocks there is a natural splash pad that makes an “explosion” of the water, causing a wonderful effect on people, due to such beauty.","Paintings on facades of houses, boats
Extraction of aggregates for civil construction","Sea, black sand, marine species",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/gpmasnTK6lv6K2WVvXz6.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/1gamPiZbC6aPj2C5jT5G.jpg,"The location, as well as Porto Mosquito Beach, is part of two major tourism promotion and diversification projects in Cape Verde, namely, the Tourism and Environmental Enhancement Program for Rural Villages and the Cape Verde Pedestrian Paths Signage Project.","The Serra Santa Clara stands out, a geomorphological heritage made up essentially of basalt rocks, resembling a castle and the dome of Saint Peter's basilica, and the Gruta Elefante Santa Clara, also one of the city's seven natural wonders, resembling an elephant. , awakening curiosity to know what mystery exists beyond the cave. Ribeira Santa Clara is an impressive valley shaped like a cannon, approximately 8 km long. You can observe birds, monkeys and goats",,Coast and bath (Beach),"The village will be rehabilitated within the scope of the Government Program. It needs interventions in terms of sanitation, environmental, training and rehabilitation of Porto Mosquito Beach.",True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Does not exist,Enough,Does not exist,,True,True,54,roomy,Guide services,"Water,Sewage system,Public lighting",,,"Water,Public lighting",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/mCh6XfOnwbQ7m9cGlYPI.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/qX08ypEfb7JgJ8uiVO86.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/dzGp1o4zt7OTAWlWQxgD.jpg,,,Attended,,
"14.904089466426283, -23.51714866782945",Quebra Canela Beach,Santiago,Praia,Nossa Senhora da Graça,Quebra Canela,Quebra Canela,Natural Places,Beaches and Coastal Locations,"Praia de Quebra Canela is a small beach within the city, very popular with the resident population and visitors. It is located south of the city of Praia, more specifically in the Quebra Canela area. It is also a sheltered beach about 45 meters long, made up of white sand and crystal clear waters, is easily accessible and has a set of basic infrastructure and tourist support services, such as hotels, bars, restaurants and shopping malls. In this beach, you can also find fishermen dragging their boats early in the morning. Many water sports companies offer kayaking and other services during the summer season.","Shadows, Viewpoint, boats
Physical exercise equipment",Sea and sand,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ol20dU6aO9GOLCOVP4x0.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/gZoIi0IG2K7utWL2ra4j.jpg,Beach sand cleaning,,,Coast and bath (Beach),,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Taxi",Enough,Enough,Enough,Book,True,True,55,very good,"Guide services, Taxi service, Sale of crafts, Bank/ATM/currency exchange, Parking services","Water,Sewage system,Public lighting,Signage","Public hospital,Primary care,Police",,"Public lighting,Signage",,,,"Primary care,Police",,Attended,,
"15.233114997172203, -23.743263992213826",Ribeira da Prata Beach,Santiago,Tarrafal,Santo Amaro Abade,Ribeira das Pratas,Ribeira das Pratas,Natural Places,Beaches and Coastal Locations,"Bathing beach with black volcanic sand with great potential in terms of health tourism, not yet explored. Highest hatching point for sea turtles (grimace grimace). In the meantime, he attracted smugglers to unload the stolen materials. It is more than 3 km long. Access to the beach is accessible to everyone who needs to make some improvements, along the beach there are many acacias and some flat plants, in addition to the fine black sand. On a day when the fog permits, you can see Fogo Island.",,"Sea, mango trees and coconut tree",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ENhixE9bRN4Nq8WvB6Jw.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/p9wUfC2NqodACXUzLK0e.jpg,"Cleaning and reinforcing trash bins, bathrooms, life guard posts, creating shade and sun loungers",,,Coast and bath (Beach),,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Does not exist,Does not exist,Very little,Book,False,True,56,bom,Guide services,"Water,Public lighting","Private hospital,Primary care,Police",,,,,,,,Attended,,
"15.145504261204497, -23.541073033072983",Porto Fundo Beach (Baia),Santiago,Santa Cruz,Santiago Maior,Pedra Badejo,Porto fundo,Natural Places,Beaches and Coastal Locations,"It used to be used for disembarking cruise ships. 20 years ago there was a yard selling sand from Mauritania that supplied Santiago and the remaining Cape Verde islands. It is frequented by many fishermen during their work. Located behind Monte Vigia, in Ponta de Santa Cruz, it is a beautiful cove with calm waters that offers a beautiful natural landscape to the visitor. Despite the notable lack of human intervention, you can see an old staircase that can be reused for tourist purposes. There is, however, a municipal dump on the access road.","Access path made by fishermen and shepherds
Boats","Sea, rocks plants in the sand….",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Z1owzGxqSOCv1JPm0YCo.png,,"Access, cleaning, requalification of the Beach, and relocation of the municipal trash bin to another location.","In the past, it was one of the beaches in Cape Verde that received cruise ships",,Coast and bath (Beach),Improve access to the beach,True,"All-terrain vehicle,Common car,Tourist bus,Tourist mini-bus,Taxi",Does not exist,Enough,Does not exist,Book,False,True,57,roomy,"Guide services,Bicycle/horse/other rental,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/exchange office,Parking services","Water,Public lighting,Signage","Public hospital,Private hospital,Police",,,,,,,,Little frequented,,
"14.917539299579525, -23.508872907408445",Parish Church of Our Lady of Grace,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Ethnography and folklore,Spiritual Folklore,"It is a church located in front of Praça Alexandre Albuquerque, built between 1894 and 1902, which replaces the primitive church built in the 16th century, with the same name, which follows the Roman rite and functions as the Cathedral of the Diocese of Santiago – Cape Verde. This church stands out for its colonial-era architecture, the beauty and geometry of the arches that define the doors and windows and the decorative figures found there. Currently in the church is the tomb of Bishop Dom Paulino Evora, who died in 2019.","Stonework walls, stone and lime masonry
Cover structure in wooden trusses and hipped roof made of tiles.",Square with landscaped garden,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/CAq5w9OgAWN4uYyAsfjh.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/hh88Hx1OuCX0Jsx5IkUh.jpg,,It was one of the first churches and chapels built in Cape Verde to promote Christianity.,,Heritage/cultural,,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Mini Tourist Bus,Taxi",Enough,Enough,Enough,Book,True,True,58,very good,"Guide services,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/currency exchange,Parking services","Water,Sewage system,Public lighting,Signage","Public hospital,Private hospital,Primary care,Police",,Water,,,,,,Attended,,
"15.22375467976268, -23.6188565613779",Rabelados,Santiago,São Miguel,São Miguel Arcanjo,Achada Espinho Grande,Achada Espinho Grande,Ethnography and folklore,Ethnic Groups,"The Rabelados constitute a social group that has undergone a process of identity transformation, unique in the country. Over several decades, from the 1940s to the present, they have severely defended their identity forged in a situation marked by conflicts and disagreements with the Church and the State. Currently, they are more open to visitors and in some locations, they have developed craft projects, especially in painting and pottery, and have signed up to programs to improve their living conditions and further disseminate their characteristic way of life, much admired by national visitors. and foreigners. In the municipality there are rabelado communities in Espinho Branco, Bacio, Monte Santo and Palha Carga, with Espinho Branco being the largest of all. They built their villages in mountains and difficult-to-access places to escape the power of the State and to avoid interacting with other social groups on the island. Those who are still resistant are the younger ones, who try their best to ensure the preservation of their traditions, because the older ones have already died. Over the years, city-style houses made of cement have begun to be introduced, but the idea is to then clad them in bamboo and coconut leaves, as many of the houses that still live in are made.","Crafts, painting, pottery",Master's theses on the rebels,Private,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/s5zvE0DG43MmwjYp6rIO.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/b5e8nmHFtt4N0kduXT5x.jpg,"Dissemination of crafts by CM, preservation of existing heritage.",The only one who abdicates the church and the state.,,Heritage/cultural,,True,"All-terrain vehicle,Common car,On foot,On horseback,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Enough,Enough,Enough,Semi-restricted (prior permission),True,True,59,,"Sale of handicrafts,Bank/ATMs/exchange office,Other","Water,Public lighting,Signage",,Sale of crafts,"Water,Public lighting",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/sBADo4LG5dl43dLcU9Ww.jpg,,,,,Very little frequented,,
"15.106733598394506, -23.705708974873538",Monument - Ribeirão Manel Revolt,Santiago,Santa Catarina,Santa Catarina,Ribeirão Manuel,Ribeirão Manuel,Architectural and Artistic Heritage,Representative Works of Art,"A monument that symbolizes one of the historical events that marked the struggle and courage of the people in search of social equality and one of the most emblematic of rural men and women in Cape Verde. This popular revolt, which began on November 12, 1910, had the active participation of women. Led by Ana da Veiga, known as Nhanha Bombolom. It is a cultural monument located north of Assomada, in Ribeirão Manuel, west of Achada Falcão. The monument carries with it the memory, that is, it was erected in honor of the tenants who refused to pay land rent, which generated some turmoil with the authorities of the time. Thus, it is a symbol of the resistance of tenants and slaves that took place in 1910. This monument has a great capacity to attract tourists, due to the memory it preserves and, in itself, with a guide it can be transformed into a cultural tourist offer.","Concrete chairs
Work of art in stone and bronze","Gardens, with local plants",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/gC9jne5pC31Qe52JLB4r.jpg,,It is used on national itineraries,It was one of the social uprisings led by women in search of social justice and equal rights.,,Heritage/cultural,,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Does not exist,Does not exist,Does not exist,Book,True,True,60,bom,,"Water,Sewage system,Public lighting",Primary care,,Public lighting,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/sIejlLrl1cCNn6oH14Cc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/SKrsmH8gjGojiD2z8yFI.jpg,,,,Attended,,
"15.1307045436267, -23.53649362077645",Ribeira de Picos,Santiago,Santa Cruz,Santiago Maior,Ribeira dos Picos ,Ribeira dos Picos ,Natural Places,Vales,"Green valley with coconut trees and banana trees. Easily accessible and due to its environmental characteristics, it has a wide range of endemic birds and plants. From the top of the town of João Toro, you can enjoy a privileged view of the vast and green Ribeira dos Picos, with coconut and banana trees standing out in the landscape. It is an easily accessible river and due to its location and environmental characteristics, it has a wide range of endemic birds and plants that constitute its strong tourist attraction. It represents the third element in the category of protected landscape proposed by the local Municipal Master Plan.",Residential houses and 1 bar,Fruit plants and birds,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/FNF3pkKO4eMYJ5Ft7upk.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/SfBQvp6qu02mTKH38ihf.jpg,Placement of identification signs for hiking itineraries and information and guidance signs along the various existing routes. Create balconies for birdwatching. Tourist enterprise and communication.,Green riverside,,Hiking,,True,"All-terrain vehicle,Common car,On foot,On horseback,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Enough,Enough,Enough,Semi-restricted (prior permission),False,True,61,bom,"Guide services,Bicycle/horse/other rental,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/exchange office,Parking services","Water,Public lighting,Signage",Primary care,,,,,,,,Little frequented,,
"15.079309699870542, -23.564682398780416",dry river,Santiago,Santa Cruz,Santiago Maior,Cidade de Pedra Badejo ,Taberna ,Scientific Technical Achievements,Farms,"The largest river in the council and despite the name it is very green, in times of rain it presents an anthropic landscape with irrigated and rainfed crops, where they have already introduced the drip irrigation system for greater profitability of the land and use of water from the dam of poilão. It has a large area of ​​hectares and is easily accessible, passing through two main roads that connect the council to neighboring municipalities in the southern part of the island.","Dwelling houses 
Poilão dam",Border plants and a century-old tree,Private,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ZIZs9GQlrWNFv4w5knfm.jpg,,"Development of tourist products linked to agritourism, exchanges between visitors and farmers and awareness programs.",Meat Route,,Hiking,,True,"All-terrain vehicle,Common car,On foot,On horseback,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Enough,Enough,Enough,Semi-restricted (prior permission),True,True,62,bom,"Guide services,Bicycle/horse/other rental,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/exchange office,Parking services","Water,Sewage system,Public lighting,Signage","Public hospital,Private hospital,Primary care,Police",,Signaling,,,,,,Attended,,
"15.114515273882162, -23.76958383912538",Molten Rock in Achada Leite - Pilon di Nhor Des,Santiago,Santa Catarina,Santa Catarina,Achada Leite,Achada Leite,Natural Places,Geological and Paleontological Formations,"It is a cliff located on the northwest coast of Santa Catarina, more specifically in Achada Leite. This natural sculpture is the result of marine dynamics and up close it looks like a “pylon” ready to wait for the corn to be crushed. Hence, the great curiosity about this attraction: “The cliff of Achada Leite is called “Pilon di Nhor Dés” by the locals, thanks to its peculiar shape”. In the area where the attraction is located, it is also possible to observe the dynamics of the waves, as well as the local breeze. Likewise, a short distance from the attraction, other landscape elements harmonize, forming a small oasis with a predominance of coconut palm plantations and other species. Needing intervention for adaptability and access improvements.",,Mar,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/GNS4jSdBv7IlCVYxhC40.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/94ftGkeJMX57iyo78tLM.jpg,,"The site has the presence of submarine and subaerial basalt mantles. It is still possible to identify the “Cast Rock” called cliff, with a cylindrical structure called “Pilon di Nhor Des” by residents.",,Others,Necessary interventions for its use In the process of Remodeling within the scope of the Rural Villages Program,True,"All-terrain vehicle,On foot,Other",Enough,,Enough,Book,False,True,63,,,"Water,Sewage system,Public lighting,Signage",,"Guide services, Interpretation centers, Sale of crafts",,,,,Primary care,True,Attended,,Barco
"14.916211162622261, -23.605426276563957",Banana Street,Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Grande de Santiago,Ribeira Grande de Santiago,Architectural and Artistic Heritage,Representative Works of Art,"It is the first street to be urbanized by the Portuguese (in 1462) in Cape Verde and throughout Sub-Saharan Africa. Street where the Portuguese built their houses, houses made with local stones (basalt and mortar, lime and sand), with a tiled roof from Portugal. The street has a floor covered with gravel stone (sea pebbles), and has good vegetation. This famous street connects the entrance to the old city to the church of Nossa Senhora do Rosario. An integral part of the historic center of the old city, elevated to world heritage in 2009 by UNESCO. It is close to many other attractions in the old city. Its historical importance makes it a relevant place to visit.","House covered with cane straw and ropes
Palm branches",Fruit trees,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/RCWmKa0rNlYa2ggxXF4C.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/nryPsdfDG8WhlvopYYt9.jpg,,,,Heritage/cultural,,True,"Ordinary car,On foot,Tourist bus,Mini Tourist Bus,Taxi",Enough,Enough,Enough,Book,True,False,64,bom,"Guide services, Sale of handicrafts, Bank/ATMs/currency exchange","Water,Public lighting,Signage","Public hospital, Police",Guide services,"Water,Public lighting,Signage",,,,,,Attended,,
"14.920325323856419, -23.507564732383717",July 5th Pedestrian Street,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Architectural and Artistic Heritage,Human Settlements and Living Architecture,"It is located on the plateau on the old Rua D. Luis in honor of King Luis I of Portugal. It was renamed Cape Verde's independence after July 5th. It runs from south to north, parallel to Avenida Amilcar Cabral and Rua Serpa Pinto. This street was already pedestrianized in the 21st century. It is also the busiest street in the city. it was opened in 2015. It has banks and various restaurant, bar and store services. It stands out for its uniqueness, as being pedestrian, visitors circulate in safe and peaceful conditions. Main pedestrian street on Cape Verde's capital beach. Ornamented with basalt and cement stones. Various events are also held, such as craft exhibitions, leisure activities, cultural festivals such as criol jazz and AME (Atlantic music Expo).","Commercial houses
Souvenir shops",Plants/trees,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/X8RqEIbAvHb72rd3u5BS.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/RkPwXBHUaiHnSZnk0PMQ.jpg,none,"Main pedestrian street in Praia, the island with the most inhabitants and lots of life.",,Heritage/cultural,Regular tree pruning.,True,"Ordinary car,On foot,Public bus,Tourist bus,Taxi",Enough,Enough,Enough,Book,True,True,65,bom,"Guide services, Taxi service, Sale of crafts, Bank/ATM/currency exchange, Parking services","Water,Sewage system,Public lighting,Signage","Public hospital,Private hospital,Primary care,Police","Museums,Sale of crafts","Sewage system,Public lighting,Signage",,,,,,Attended,,
