Lat-Long,Nome do recurso turístico,ilha,Conselho,Freguesia,Vila,Bairro,Classificação,Cara,Descrição do produto,Elementos materiais associados,Elementos naturais associados,Acesso ao Recurso [Domínio público ou privado],Imagens do recurso,Imagens do recurso 1,Dados pendentes de interesse turístico,Singularidade que o diferencia dos demais da região,Satisfação do cliente com o recurso,Possibilidades de exploração futura,Intervenções necessárias para seu uso,Acesso ao recurso (Terra),Meio de viagem,Sinalização (Dentro do município),Sinalização (Fora do município),Sinalização (Na proximidade),Tipo de renda,Aplica (Dentro do Recurso Turístico),Aplica (Fora do Recurso Turístico),"ID",Estado de conservação,Outros Serviços Turísticos (Fora do Empreendimento Turístico da localidade mais próxima),Serviços Básicos ( Fora do Empreendimento Turístico da localidade mais próxima),Serviços de emergência (Fora do Empreendimento Turístico da localidade mais próxima),Outros Serviços Turísticos (Dentro do Recurso Turístico),Serviços básicos (Dentro do Recurso Turístico),Imagens do recurso 2,Imagens do recurso 3,Imagens do recurso 4,Serviços de emergência (Dentro do Recurso Turístico),Acesso ao recurso (Marítimo),Nível atual de uso,Acesso ao recurso (Aéreo),Meio de viagem 2
"14.916918434881977, -23.507501734802467",Miradouro de Cruzeiro ,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Património Arquitectónico E Artístico,Legado Arqueológico,"Localiza-se no sul da Praia, na zona de tenis no plateaue confronta-se com o alto da falésia que desce em direção ao mar. Trata-se de uma estrutura que foi construida nos primórdios da ocupação do plateau para defender a cidade dos sucessivos ataques de piratas que a ilha vinha enfrentando. O largo foi requalificado, dando ao visitante maior conforto. Constituida com uma cruz feita em cimentos e revetida de marmore, numa bases de pedra tambem revestida de marmore, foi inaugurada em 19 de nobembro de 2006, tem varios canhões inativos que defendia a ilha de ataques, que derivado do tempo, estão bem enferrujados. Tambem é um dos melhores miradouros da cidades, com uma vista panoramica ao cais da cidade da praia.","Canhões, 
Cruz virada para o cais da praia",Alguma arvores,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/vVeXVH8J1qqudIokg1qc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/CvKufggvIJN3CYWKytty.jpg,,,,Património/cultural,,true,"Veículo todo terreno,Carro comum,A pé,Ônibus turístico,Mini-Ônibus Turístico,Taxi",Suficiente,Suficiente,Suficiente,Livre,true,false,37,,"Serviços de guia ,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital público,Hospital particular,Polícia",,Iluminação pública,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/CA3DqK4v2TIyUEBBS5wX.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/SHDJoIOlbD1TyURGIb7i.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/fnketppxr0VZ5mGP0Rft.jpg,,,Frequentado,,
"15.035651704836042, -23.59963023640967",Miradouro de Rui Vaz,Santiago,São Domingos,São Nicolau Tolentino,"Rui Vaz

",Rui Vaz,Lugares Naturais,Locais De Observação De Flora E Fauna,"É um miradouro  a 820 metros de altitude, localizado na cadeia do Pico de Antónia, no perimetro florestal de Rui Vaz.  Clima anena, visualização de santiago norte, fronteira com SLO. Porta de entrada do perimetro florestral, de curalinho. Zona para praticar desportos (asa delta)- em estudo na CMSD. Integra o roteiro turístico da ilha de Santiago, tem vista para os concelhos de São Lourenço dos órgãos, de Santa Cruz e da ilha do maio. No miradouro destaca um baloiço, feito com a madeira de eucalipto, muito abundante na região. Um convite a sentir-se outra vez uma criança e tirar fotos maravilhosas. O seu redor é rica em belas paisagens verdejantes.","Bancos de madeiras, baloiço, pedras basáltico, trilhas a são jorge 
Quiosque de café a  madeira e telha, 
","Paisagem e flora, plantas medicinal",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/cqdMxM28mlraAWMtup0o.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/kW9CCmWqBYqc5xD1jnQ2.jpg,"Melhorar acessibilidade, saneamento, investimento local de privados, capacitação de pessoas para prestar um serviço lá.","Possui as melhores trilhas de trekking, perto das áreas protegidas e apta para desenvolver projetos científicos.",,"É de uso turístico, para passeios, observação e piquinique",,true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",Suficiente,Suficiente,Suficiente,Livre,true,true,38,bom,"Venda de artesanato,Serviços de estacionamento","Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital público,Cuidados primários",Serviços de estacionamento,"Iluminação pública,Sinalização",,,,Cuidados primários,,Frequentado,,
"14.923139226801977, -23.50702813527767",Museo Etnográfico da Praia,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Património Arquitectónico E Artístico,Museus E Salas De Exposições,"O Museu surge de um projeto maior de criação do museu Nacional (finais de 1980/1990). Pretendia-se a criação de um museu que pudesse espelhar a identidade cultural caboverdiana. Porém a materialização do mesmo não foi possivel, tendo desembocado naquilo que é o Museu Etnografico da Praia, inaugurado em 27 de novembro de 1997. Edificio de construção antiga com suado de madeira. A maior parte do acervo, são fruto de campanhas de recolha efetuadas nos anos 1992 a 1995, nas ilhas de santiago, santo antão, bosvista e brava, pelo Instituto nacional da cultura. O acervo é bastante diferenciado onde representa a vivencia, o quatidiano e o saber-fazer de homem caboverdiano, as sua tecnicas e oficios ancestrais, muitos em extensão, que fazem parte do lastro etno-cultural comum a todas as ilhas do arquipelago.","Pedras Basaltica, vitrines de vidro, artesanato diversos, Paineis interpretativos, Portas e janelas altas",-,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/yN0uoK3C7kkYtZoS8sUp.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/134KEJLda7HZb5Z1sYRc.jpg,Nenhuma ,Único museu etnográfico de Santiago,,Património/cultural,Nenhuma,true,"Carro comum,A pé",Suficiente,Suficiente,Suficiente,É necessário ingresso ou ingresso,true,true,39,bom,"Serviços de guia ,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital público,Hospital particular,Cuidados primários,Polícia",Museus,"Água,Sistema de esgoto,Iluminação pública,Sinalização",,,,Cuidados primários,,Frequentado,,
"14.916645462293983, -23.509556218844676",Palácio da Presidência da República,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Património Arquitectónico E Artístico,Assentamentos Humanos E Arquitetura Viva,"O Palácio da Presidencia da Republica situado no centro historico do Plateau, foi construido em finais do seculo XIX, desempenhou ao longo dos tempos varias funções, sendo de destacar, a residencia dos governadores gerais de cabo verde e depois da independencia de cabo verde em 1975, o palacio da presidencia da republica, função que ainda tem. Um edificio, com estilo neoclassico inaugurado em 1984. Existem referencias historicas antes e depois de 1878, a autorização foi solicitada para a construção de uma residencia para os governadores gerais, em maio de 1878, esse projeto foi eleborado direção geral de obras publicas. ","Miradouro, Obras de arte representativo",Jardín paisagistico,Privado,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/xI0EQNvNRjQSraaxTZ9u.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/8J7rPyB1BpdRlQGbRmsk.png,-,"É um edificio com a planta de arquitetura em U e estilo neoclássico, com cantaría, alvenaria e coberta de telhas e único nas regiões.",,Património/cultural,-,true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico",Suficiente,Suficiente,Suficiente,Semi-restrito (permissão prévia),true,true,40,muito bom,"Serviços de guia ,Centros de interpretação,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital público,Hospital particular,Cuidados primários,Polícia","Serviços de guia ,Centros de interpretação","Água,Sistema de esgoto,Iluminação pública,Sinalização",,,,"Cuidados primários,Polícia",,Frequentado,,
"14.915174398165258, -23.605130690008735",Pelourinho,Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Grande de Santiago,Ribeira Grande de Santiago,Património Arquitectónico E Artístico,Legado Arqueológico,"É um importante monumentona cidade de cidade velha, no sul de santiado. Construido em 1512 a 1520. Simbolo de poder municipal, onde os cidadãos era julgados em frente ao publico (castigado com asoito de chicote). Construido de pedra de marmore (vindo de Portugal) pelo arquiteto Mark Pires. 1º monumento na Cidade Velha sujeita a remodelação em 1560. È uma coluna de marmore branca em estilo manuelino, situada na praça principal da vila. "," ferro com símbolos dos navegadores que passaram por Cidade Velha  (Diogo Afonso, Diogo Gomes e Antonio de noli)",-,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/EvLeHsyYwf5TCd4kK7aV.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/02QKOCWxTX6FPNDnbUfZ.jpg,-,-,,Património/cultural,-,true,"Carro comum,A pé,Ônibus turístico,Taxi",Suficiente,Suficiente,Suficiente,Livre,false,true,41,bom,Venda de artesanato,"Água,Iluminação pública,Sinalização",,,,,,,,,Frequentado,,
"15.28519185524424, -23.755995907839342",Porto de Mangui,Santiago,Tarrafal,Santo Amaro Abade,Baia de Tarrafal,Baia de Tarrafal,Lugares Naturais,Praias E Locais Costeiros,"Porto de pesca do tarrafal, projetado do seculo XIV, por um francês de nome Renatho, feito com ideia para a comercialização do carvão. Foi utilizado para desembarque de presos politicos e embarque de pessoas para são tomé e principe nos tempo da fome. Atualmente usado com cais de pesca, para desembarque de pequenas embarcações pesqueiras que abastece tarrafal e outras localidades de pescado de diversas especias. O cais tem uma dimensão em mais de 100 metros, feita com estruturas fortes, mas de momento o mesmo se encontra degradado. ","Escadas danificadas, Ancora em mau estado de conservação","Mar, peixes",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/tBg3MaKoiQi294PBbZmG.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/1J6fGOBsR33L7WJPdZHg.jpg,"Reabilitar com intuito de servir o turismo e a pesca, projeto turismo resiliente (unidade de projeto), previsto para 2024",-,,,-,true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",No existe,Muito pouco,Muito pouco,Livre,true,true,42,ruim,"Serviços de guia ,Aluguel de bicicleta/cavalo/outro","Água,Iluminação pública","Hospital particular,Cuidados primários,Polícia",,Iluminação pública,,,,,,Frequentado,,
"15.138721447830783, -23.527203213519837",Porto de Pedra Badejo - Falucho,Santiago,Santa Cruz,Santiago Maior,Cidade de Pedra Badejo ,Porto Baixo ,Lugares Naturais,Praias E Locais Costeiros,"Já serviu em tempos passados para fazer a ligação marítima principalmente com a ilha do Maio, onde vivem várias pessoas oriundas do concelho de Santa Cruz. Com cheiro a mar e a peixe, os pescadores começam a chegar do mar de manhã e as peixeiras, concentradas no Porto, carregam os peixes em alguidares e saem a vender pelas ruas e no Mercado. É mais um ponto de interesse turístico onde os visitantes podem ver a faina das pessoas ligadas ao mar e comprar produtos do mar frescos na hora. Foi recentemente remodelada e construída uma Fabrica de gelo (inaugurada e agosto de 2023) e zona do prepara do pescado. Existe também casa de banho.  ",-,-,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/PAOgQtfH84piXtUjs8yg.jpg,,Museus de artefactos de pesca de falucho,Faz a ligação com a ilha do maio e boavista de botes ,,"Atividades náuticas: Vela, pesca em alto mar, etc.",-,true,"Veículo todo terreno,Carro comum,A pé,A cavalo,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",Suficiente,Suficiente,Suficiente,Livre,true,true,43,bom,"Serviços de guia ,Aluguel de bicicleta/cavalo/outro,Centros de interpretação,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital público,Hospital particular,Cuidados primários,Polícia",,"Água,Sistema de esgoto,Iluminação pública,Sinalização",,,,,true,Frequentado,,"Barco,Iate"
"14.905296827398644, -23.518607834679845",Praça Cruz de Papa,Santiago,Praia,Nossa Senhora da Graça,Achada Santo António,Achada Santo António,Património Arquitectónico E Artístico,Obras De Arte Representativas,"O monumento Cruz de Papa é um monumento erguida para assinalar a visita papal do Papa João Paulo II a cabo verde em 1990, sendo a primeira visita de sempre do maior responsavel da igreja ao pais. Este monumento imponente, encontra-se no jardim onde é possivel observar, de um lado, e do outro uma escultura representativa de João Paulo II. Tem um vista panoramica fantastica  sobre a baia da praia de quebra canela, onde pode sentir a maresia e observar o por do sol. A praça foi inaugura e 2008 e criada pelo senhor Domingos de Luisa.","Miradouro, parque com escorregas de crianças, Restaurante, cadeiras

",Jardim,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/nxhW62OGYiAgTb6PG2s4.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/gSmtPgxj97HzURfuKOb2.jpg,,Foi a primeira visita de sempre do maior responsável da igreja Cátolica a uma país como Cabo Verde. ,,Património/cultural,,true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Taxi",Suficiente,Suficiente,Suficiente,Livre,true,true,45,bom,"Serviços de guia ,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital particular,Cuidados primários",,"Iluminação pública,Sinalização",,,,,,Frequentado,,
"15.281517197755285, -23.752689347404843",Praia Branca do Tarrafal de Santiago,Santiago,Tarrafal,Santo Amaro Abade,Baia de Tarrafal,Baia de Tarrafal,Lugares Naturais,Praias E Locais Costeiros,"Praia balnear paradisica de areia brancas e aguas cristalinas quentes, palmeira e cocoeiros a volta, que dão um nivel paisagistico fantastico. A praia serve tambem para natação, mergulho, para passeios de bote, e a agua se encontra durante todas as estações com a mesma temperatura.Tem uma boa extensão tanto no cumprimento como na largura, se encontra bem concervada. Auspiciosa tambem para a pratica de pequeniques em familia. Tem uma vasta biodiversidade varinha, desde a desofa de 4 tipos de tartarugas.

","Sombras, espriguiçadeiras","Mar, peixes, algas, palmeiras",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/YVo4EQGTjDPn3jdQy0ZZ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/zBqCUUcO1YwoIrkkCBUF.jpg,"Limpeza e reforço de lixeiras, casas de banhos. Criação de viveiros para albergar ovos de tartarugas.",Uma das melhoress baias da ilha de Santiago,,Costa e banho (Praia),,true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",No existe,No existe,Muito pouco,Livre,true,true,48,bom,"Serviços de guia ,Aluguel de bicicleta/cavalo/outro,Serviço de táxi,Alojamiento,Restauração","Água,Iluminação pública","Hospital particular,Cuidados primários,Polícia",,Iluminação pública,,,,,,Frequentado,,
"14.904470569364953, -23.51165720356226",Praia da Prainha,Santiago,Praia,Nossa Senhora da Graça,Quebra Canela,Quebra Canela,Lugares Naturais,Praias E Locais Costeiros,"Pequena praia balnear dentro da cidade, muito frequentado por turista e pela população local. Situado no litoral da zona de prainha, com uma extenção de cerca de 78 metros de cumprimentos, constituida por areias brancas e aguas cristalinas e em bom estado de conservação, de facil acesso e muito frequentado por turistas e banhistas locais. Na sua envolvencia encontra-se hoteis de luxo, como parque de estacionamento, alguns monumentos historicos, designadamente o farol dona maria pia e o seminario são josé, cujo parte das instalações foi outrora o antigo lazareto. ","Informações de uso, lixeiras, miradouro ",,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/giLpIdJSRlHzn9v4K2zZ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ODioBcLuMvcL0Qz2BrXo.jpg,Limpeza da areia da praia,È menor Praia da cidade da Praia.,,Costa e banho (Praia),,true,"Carro comum,A pé,Ônibus público,Ônibus turístico,Taxi",Suficiente,Suficiente,Suficiente,Livre,true,true,49,bom,"Serviços de guia ,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento,Alojamiento,Restauração","Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital público,Cuidados primários,Polícia",,"Água,Iluminação pública,Sinalização",,,,"Cuidados primários,Polícia",,,,
"15.134695392737694, -23.528595016991527",Praia de Areia Grande ,Santiago,Santa Cruz,Santiago Maior,Cidade de Pedra Badejo ,"Pedra Badejo 

",Lugares Naturais,Praias E Locais Costeiros,"É a maior praia do concelho, com mais de 3 quilómetros de extensão, onde todos os anos se realiza o famoso festival de música de Areia Grande, bem como outras atividades culturais e desportivas. Localizada nas proximidades da estrada principal do concelho, encontra-se em bom estado de conservação. Constituida de areia negra, a praia é um atrativo tanto para os turistas como para a população local. Recentemente a praia teve a visita da tartatuga Chelonia Midas, mais conhecida por tartaruga verde, onde foi um marco na historia da praia que foi registada o momento da chegada, dezova e da partida, pelo associação careta carate.","Equipamento de desporto, botes, ginasio ao ar livre

",Visita de aves migratorias nas extenção de Lagoainha  e lagoa grande. ,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/QMD9tgrDCsFWvt3XdCdJ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ANkWo3wX18lmgH3Qhk0N.jpg,"Intervenção a nivel de saneamento e de animação, sombreiro feito de material local (palha), posto de vigilancia de guarda vidas.","Única Praia do Conselho em que realiza o festival de música de areia grande, bem como atividades culturais e desportivas.",,Costa e banho (Praia),,true,"Veículo todo terreno,Carro comum,A pé,A cavalo,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",Suficiente,Suficiente,Suficiente,Livre,false,true,50,bom,"Serviços de guia ,Aluguel de bicicleta/cavalo/outro,Centros de interpretação,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento,Alojamiento,Restauração","Iluminação pública,Sinalização","Hospital público,Hospital particular,Cuidados primários,Polícia",,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/i7OLtNKpg5Y2AW3pOXAZ.jpg,,,,true,Frequentado,,"Barco,Iate"
"15.062061290148275, -23.473368916612312",Praia Baixo,Santiago,São Domingos,Nossa Senhora da Luz,Praia Baixo,Praia Baixo,Lugares Naturais,Praias E Locais Costeiros,"É uma praia balnear situado numa localidade piscatória. A praia apresenta excelentes condições para pratica de desporto náuticos (surf, windsurf, mergulho, natação). Maior praia de são domingos, pode-se tambem desenvolver uma economia maritima a volta. De perfil longitudinal, localizado na zona sul do município de São Domingos. Uma das praias mais vastas da ilha de Santiago, constituída por uma mistura de areia branca e preta, originando um tom de cinza claro, o que difere das outras praias. Dispõe de equipamentos de sol e à sua volta alguns serviços de apoio turístico.","Sombras , botes, pensão, bares, resutarantes

",Mar e areia,Privado,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/o0J3FG1XuAQMvDXOBAiB.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/1rFETH4kPIjNCRIDDebN.jpg,"Limpeza da areia da Praia, conclusão do acesso e projeto orla maritimo","Apresenta excelentes condições para prática de desporto náuticos, com aguas quentes.",,Costa e banho (Praia),,true,"Veículo todo terreno,Carro comum,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",Suficiente,Suficiente,Suficiente,Livre,true,true,51,aceitável,"Venda de artesanato,Alojamiento,Restauração","Água,Sistema de esgoto,Iluminação pública,Sinalização",Cuidados primários,,"Iluminação pública,Sinalização",,,,Cuidados primários,,Frequentado,,
"15.231881573837127, -23.642631986437134",Praia de Mangue de 7 ribeira,Santiago,São Miguel,São Miguel Arcanjo,Achada Monte,Achada Monte,Lugares Naturais,Praias E Locais Costeiros,"Uma praia, onde o mar penetra mansamente pela terra dentro, conferindo ao local potencialidades particulares para o campismo e convívio. É um dos elementos naturais do concelho proposto na categoria de monumento natural na Rede Nacional de Áreas Protegidas, devido ao valor cénico e pela sua riqueza ambiental. Antigamente tinha o nome de “manguinho”, também servia de carga e descarga de navios. Estes  ancoravam no alto mar e com as cordas presas em enxadas fixadas na estrada,  aguentavam os navios, e o carregamento e descarga acontecia em botes para a praia. Há relatos de moradores, que quem abastecia estes navios era um homem considerado o mais rico de santiago Sr. Calisto Oliveira, que tinha um contrato com estes, e morava na praia branca, fazia a troca de mercadorias (purgueira para fazer sabão, animais etc) de santiago com outros países. Atualmente a zona esta desprovida de população, tendo um empreendimento rural que aproveita a natureza para a sua concessão. ",,"Rochas, mar, plantas",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/7DzVdUut2MbTJgGtyQwO.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/UwV0VRZcGZsWryUjJFvE.jpg,"Mais publicidade, reabilitação, segurança, limpeza","Referencia na historia, paisagem, ambiente. ",,Costa e banho (Praia),"Limpeza, saneamento",true,"Veículo todo terreno,Carro comum,A pé,Ônibus turístico,Mini-Ônibus Turístico,Taxi",No existe,Suficiente,No existe,Livre,true,true,52,bom,"Alojamiento,Restauração","Iluminação pública,Sinalização",Cuidados primários,,Iluminação pública,,,,,,Muito pouco frequentado,,
"15.089537558896614, -23.491443703181375",Praia de mangue,Santiago,Santa Cruz,Santiago Maior,Monte negra,Monte negro,Lugares Naturais,Praias E Locais Costeiros,"Localizada em da Ribeira de Mangue, é uma praia com alguma dificuldade de acesso devido as condições da estrada e por se ter acesso a praia tem que ter a previa autorização, porque passa por uma propriedade privada. Representa um dos pontos tradicionais de desova de tartarugas da espécie Caretta caretta na costa, o que lhe confere interesse para estudos científicos e observação desta e de outras espécies que a frequentam. A praia com uma extensão de 2.5 quilómetros constituída de areia preta. Não existe mais elementos neste lugar por ser uma praia que não é muito usada pela população.",,"Areia, rochas",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/9HFpfxvPNUDYeSl93l4R.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/VmDiP8FvFWZqG0Cge2kZ.jpg,"Melhorar o acesso em relação a propriedade privada, têm ideia da construção de um empreendimento turistico",,,Costa e banho (Praia),Melhoramento do acesso,true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico",Suficiente,No existe,Suficiente,,false,true,53,bom,,"Água,Iluminação pública",,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/LD05IdxmI67qKijXT81K.jpg,,,,,Frequentado,,
"14.952036102095445, -23.686628328914463",Praia de Porto Mosquito ,Santiago,Ribeira Grande de Santiago,São João Baptista,Porto Mosquito,Porto Mosquito,Lugares Naturais,Praias E Locais Costeiros,"É uma praia de pequena dimensão, de areia negra que situa numa localidade/aldeia piscatória, constituida essencialmente por piscinas naturais e calhau. Pode ser considerado uma praia balnear, utilizada maioritariamente pela população local. No mesmo local albergue os botes de pescas artesanal e comercialização de pescados. Existe uma aldeia ao redor, onde as casas têm pinturas artisticas, com a assinatura de lantuna cv, que é um organização não governamental que faz a defesa do ambiente. Na praia entre as rochas existe uma zona de repuche natural que faz uma “explosão” da agua, causando um efeito maravilhoso nas pessoas, por tamanha beleza.","Pinturas em fachadas de casas, botes
Extração de inertes para construção civil","Mar, areia negra, especies marinhas",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/gpmasnTK6lv6K2WVvXz6.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/1gamPiZbC6aPj2C5jT5G.jpg,"A localidade, bem como a Praia de Porto Mosquito integra dois grandes projetos de promoção e diversificação turística de Cabo verde, nomeadamente, o Programa de Valorização Turística e Ambiental das Aldeias Rurais e o Projeto de Sinalização dos Caminhos Pedestres de Cabo Verde.","Destaca-se a Serra Santa Clara, património geomorfológico constituído essencialmente por rochas basálticas, assemelha-se a castelo e a cúpula basílica de São Pedro e a Gruta Elefante Santa Clara, também, uma das sete maravilhas naturais do município, assemelha-se a elefante, despertando a curiosidade em saber que mistério existe para além da gruta. Ribeira Santa Clara impressionante vale com o formato de um canhão, com cerca de 8 km de extensão. Podem-se observar aves, macacos e caprinos",,Costa e banho (Praia),"A aldeia serão reabilitadas no ámbito do Programa do Governo. Necessita de intervenções a nivel de saneamento, ambiental, capacitação e reabilitação da Praia de porto mosquito.",true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",No existe,Suficiente,No existe,,true,true,54,ruim,Serviços de guia ,"Água,Sistema de esgoto,Iluminação pública",,,"Água,Iluminação pública",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/mCh6XfOnwbQ7m9cGlYPI.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/qX08ypEfb7JgJ8uiVO86.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/dzGp1o4zt7OTAWlWQxgD.jpg,,,Frequentado,,
